Time,Dist,Curv,PathX,PathY,Speed,PathHeading,LatGap,YawDev,LongAcc,LatAcc,SideSlip,Vx,Vy,YawVel,SlipAngleFront,SlipAngleRear,LatForceFront,LatForceRear,LongForceFront,LongForceRear,VertForceFront,VertForceRear,Steer,Throttle,Brake,Gear,Clutch
sec,m,1/m,m,m,m/s,rad,m,deg,g,g,deg,m/s,m/s,rad/s,deg,deg,N,N,N,N,N,N,deg,%,N,#,0-1
0.0,0.4999,0.0,1.541,0.7441,9.9971,1.57,-1,-1,-1,-1,0.0,9.9971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.3223,3197.6424,0.0,0.0,0.0,0,0
0.05,0.9996,0.0,1.5414,1.2438,9.9941,1.57,-1,-1,-1,-1,0.0,9.9941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.3068,3197.6062,0.0,0.0,0.0,0,0
0.1,1.4991,0.0,1.5418,1.7434,9.9912,1.57,-1,-1,-1,-1,0.0,9.9912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2913,3197.57,0.0,0.0,0.0,0,0
0.15,1.9985,0.0,1.5422,2.2428,9.9882,1.57,-1,-1,-1,-1,0.0,9.9882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2759,3197.5338,0.0,0.0,0.0,0,0
0.2,2.4978,0.0,1.5426,2.7421,9.9853,1.57,-1,-1,-1,-1,0.0,9.9853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2604,3197.4976,0.0,0.0,0.0,0,0
0.25,2.9969,0.0,1.543,3.2412,9.9824,1.57,-1,-1,-1,-1,0.0,9.9824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.245,3197.4615,0.0,0.0,0.0,0,0
0.3,3.4959,0.0,1.5434,3.7402,9.9795,1.57,-1,-1,-1,-1,0.0,9.9795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.2296,3197.4254,0.0,0.0,0.0,0,0
0.35,4.0085,0.0,1.5438,4.2528,10.2532,1.57,-1,-1,-1,-1,0.0,10.2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3603.2142,3197.3894,0.0,1.0,0.0,0,0
0.4,4.5349,0.0,1.5442,4.7792,10.5269,1.57,-1,-1,-1,-1,0.0,10.5269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3604.6723,3200.804,0.0,1.0,0.0,0,0
0.45,5.0749,0.0,1.5446,5.3192,10.8003,1.57,-1,-1,-1,-1,0.0,10.8003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3606.169,3204.3089,0.0,1.0,0.0,0,0
0.5,5.6286,0.0,1.5451,5.8729,11.0736,1.57,-1,-1,-1,-1,0.0,11.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3607.7041,3207.904,0.0,1.0,0.0,0,0
0.55,6.1959,0.0,1.5455,6.4402,11.3467,1.57,-1,-1,-1,-1,0.0,11.3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.0,3609.2776,3211.5888,0.0,1.0,0.0,0,0
0.6,6.7647,0.0,1.567,7.0085,11.3751,1.5632,-1,-1,-1,-1,-0.0302,11.3699,-0.3437,-0.1367,-0.6283,-0.6283,-5820.7536,0.0,0.0,3791.0,3610.8893,3215.3633,-0.6283,1.0,0.0,0,0
0.65,7.3349,0.0,1.6035,7.5776,11.4041,1.5457,-1,-1,-1,-1,-0.0389,11.3954,-0.4435,-0.3489,-0.5826,-0.5826,-5821.0273,2276.8256,0.0,3791.0,3611.0591,3215.761,-0.6283,1.0,0.0,0,0
0.7,7.9072,0.0,1.6645,8.1466,11.4465,1.5235,-1,-1,-1,-1,-0.0594,11.4263,-0.6796,-0.4443,-0.55,-0.55,-5821.3071,-1248.0647,0.0,3791.0,3611.2327,3216.1674,-0.6283,1.0,0.0,0,0
0.75,8.4929,0.0,1.699,8.7313,11.7143,1.509,-1,-1,-1,-1,0.0027,11.7143,0.0321,-0.2902,0.1093,0.1093,5821.7186,451.375,0.0,3791.0,3611.488,3216.7652,0.0,1.0,0.0,0,0
0.8,9.086,0.0,1.7232,9.324,11.8622,1.5098,-1,-1,-1,-1,0.0202,11.8598,0.2398,0.0157,0.0293,0.0293,5196.5977,-4679.4484,0.0,2055.6855,3613.1207,3220.5887,0.0,1.0,0.0,0,0
0.85,9.6929,0.0,1.7767,9.9284,12.1368,1.5091,-1,-1,-1,-1,-0.0265,12.1326,-0.3219,-0.0145,-0.0219,-0.0219,-4518.4721,-3049.5272,0.0,3791.0,3614.0387,3222.7386,0.0,1.0,0.0,0,0
0.9,10.3123,0.0,1.798,10.5475,12.3886,1.5096,-1,-1,-1,-1,0.0268,12.3842,0.3325,0.0101,0.0281,0.0281,5108.6169,3735.0475,0.0,3503.3379,3615.7734,3226.801,0.0,1.0,0.0,0,0
0.95,10.9315,0.0,1.8507,11.1644,12.3832,1.5095,-1,-1,-1,-1,-0.024,12.3796,-0.2967,-0.0005,-0.6562,-0.6562,-5831.2472,-3815.5787,0.0,3424.5043,3617.399,3230.6079,-0.6283,1.0,0.0,0,0
1.0,11.5511,0.0,1.9153,11.7807,12.3929,1.4966,-1,-1,-1,-1,-0.0302,12.3873,-0.3738,-0.2586,-0.6043,-0.6043,-5831.1897,3656.3342,0.0,3593.8462,3617.3633,3230.5244,-0.6283,1.0,0.0,0,0
1.05,12.1725,0.0,2.0016,12.396,12.4271,1.477,-1,-1,-1,-1,-0.0457,12.4141,-0.5677,-0.3912,-0.5712,-0.5712,-5831.292,-132.9356,0.0,3791.0,3617.4268,3230.6729,-0.6283,1.0,0.0,0,0
1.1,12.7958,0.0,2.1099,13.0098,12.4658,1.4509,-1,-1,-1,-1,-0.0547,12.4472,-0.6811,-0.5228,-0.5421,-0.5421,-5831.6519,-161.3078,0.0,3791.0,3617.6501,3231.1959,-0.6283,1.0,0.0,0,0
1.15,13.4326,0.0,2.1974,13.6406,12.7372,1.4356,-1,-1,-1,-1,-0.0027,12.7371,-0.0342,-0.3062,0.1086,0.1086,5832.0609,-1427.5416,0.0,3791.0,3617.9038,3231.79,0.0,1.0,0.0,0,0
